JSON Path,Status,Involved Terms,Original,Translation
root.entries.Menace Under Otari.journals.Creating Your Hero.pages.Ability Scores in the Beginner Box.text,⚠️ 修正,Creating Your Hero->创建你的角色 | Creating Your Hero->创建你的角色 | character->角色 | character->角色 | modifier->调整值 | modifier->调整值 | ability->能力 | ability->能力 | ability->能力 | ability->能力 | ability->能力 | class->职业 | item->物品,"<section class=""box-text fvtt""><header><img src=""icons/vtt-512.png"" width=""100"" /><h2>Ability Scores in the Beginner Box</h2><p><a class=""entity-link"" href=""https://github.com/foundryvtt/pf2e/wiki/Making-a-PC"" target=""_blank"" rel=""noopener""><em class=""fas fa-book""> </em> PF2E System Wiki: Making a PC</a> @UUID[JournalEntry.KIpNnMtah73eyPC8.JournalEntryPage.RRxNZiD64dvvpWYt]{Creating Your Hero}</p></header><article><p>As mentioned in the Creating Your Hero handout, the specifics of character building can vary wildly between the core rules and the more streamlined rules included within the Beginner Box. As always, if there is any doubt, make sure to ask your GM which version of the rules you're using, and to consult the rulebooks directly to get the facts straight from the source. The Pathfinder Second Edition system for Foundry operates under the assumption you are playing with the core rules. If you are using the Beginner Box rules, the information contained within these journal handouts and the class item's ""details"" tab may not apply to your character.</p><p>One of the ways in which the Beginner Box streamlines the core rules is by removing the concept of an ability score. Instead, Ability Boosts directly increase your modifier. As such, at times, the Beginner Box might tell you to increase your ability modifier by one. This is equivalent to an Ability Boost and should increase your ability scores by 2- it does not mean that you increase your score by one (for example, from 10 to 11).</p></article></section>","<section class=""box-text fvtt""><header><img src=""icons/vtt-512.png"" width=""100"" /><h2>初学者盒中的能力值</h2><p><a class=""entity-link"" href=""https://github.com/foundryvtt/pf2e/wiki/Making-a-PC"" target=""_blank"" rel=""noopener""><em class=""fas fa-book""> </em> PF2E 系统维基：创建角色</a> @UUID[JournalEntry.KIpNnMtah73eyPC8.JournalEntryPage.RRxNZiD64dvvpWYt]{创建你的角色}</p></header><article><p>正如在 创建你的角色 讲义中所提到的，角色 构建的具体细节在核心规则和初学者盒中包含的精简规则之间可能有很大差异。一如既往，如果有任何疑问，请务必询问你的 GM 你正在使用哪个版本的规则，并直接查阅规则书以获取最准确的信息。Foundry 的开拓者次世代系统是在假设你使用核心规则的情况下运行的。如果你使用的是初学者盒规则，这些日志讲义以及 职业 物品 的“详情”页签中包含的信息可能不适用于你的 角色。</p><p>初学者盒精简核心规则的方式之一是移除了 能力 值的概念。取而代之的是，能力 提升直接增加你的 调整值。因此，初学者盒有时可能会告诉你将 能力 调整值 增加 1。这相当于一次 能力 提升，应该使你的 能力 值增加 2——这并不意味着你将数值增加 1（例如，从 10 增加到 11）。</p></article></section>"
root.entries.Menace Under Otari.journals.Game Mechanics.name,⚠️ 修正,Game Mechanics->游戏机制,Game Mechanics,游戏机制
root.entries.Menace Under Otari.journals.Menace Under Otari.name,⚠️ 修正,Menace Under Otari->奥塔里地下的威胁,Menace Under Otari,奥塔里地下的威胁
root.entries.Menace Under Otari.journals.Game Mechanics.pages.Checks.name,⚠️ 修正,Checks->检定,Checks,检定
root.entries.Menace Under Otari.journals.Game Mechanics.pages.Skill Descriptions.name,⚠️ 修正,Skill Descriptions->技能详述,Skill Descriptions,技能详述
root.entries.Menace Under Otari.journals.Game Mechanics.pages.Actions.text,✅ 新译,exploration->探索 | encounter->遭遇 | creature->生物 | actions->动作 | actions->动作 | actions->动作 | actions->动作 | actions->动作 | actions->动作 | actions->动作 | actions->动作 | actions->动作 | actions->动作 | actions->动作 | actions->动作 | actions->动作 | actions->动作 | actions->动作 | actions->动作 | actions->动作 | actions->动作 | actions->动作 | trigger->触发 | effect->效果 | effect->效果 | check->检定 | skill->技能 | trait->特征 | turn->回合 | turn->回合 | turn->回合 | time->时代 | time->时代,"<p>A hero affects the world by using actions. Some actions, called basic actions, can be used by anyone—@Compendium[pf2e.actionspf2e.BlAOM2X92SI6HMtJ]{Seek}, @Compendium[pf2e.actionspf2e.Bcxarzksqt9ezrs6]{Stride}, and @Compendium[pf2e.actionspf2e.VjxZFuUXrCU94MWR]{Strike} are all basic actions. Others, like spells and special abilities, can be used only by certain characters. Each action produces an effect. Some do this automatically, but for others you’ll roll to determine the effect.</p><section class=""character-creation""><article class=""full""><h3>Action Icons</h3><p>You’ll see the following icons used for the different types of actions found throughout the game.</p><p><span class=""pf2-icon"">1</span> Single actions are the simplest and most common actions. You can use 3 single actions on your turn, in any order you want.</p><p><span class=""pf2-icon"">r </span>Reactions are special actions that you can use when it isn’t your turn. Each reaction has a trigger that specifies when you can use that reaction. You can use only 1 reaction per round.</p><p>Activities take longer than a single action. Activities that use 2 actions have this symbol:  <span class=""pf2-icon"">2</span>. Activities that use 3 actions—your whole turn—have this symbol <span class=""pf2-icon"">3</span>. Some activities take even longer, and you can use them only when you’re between combat encounters.</p></article></section><h2>Basic Actions</h2><p>Every creature can do common tasks using basic actions. You’ll @Compendium[pf2e.actionspf2e.pvQ5rY2zrtPI614F]{Interact}, @Compendium[pf2e.actionspf2e.UHpkTuCtyaPqiCAB]{Step}, @Compendium[pf2e.actionspf2e.Bcxarzksqt9ezrs6]{Stride}, and @Compendium[pf2e.actionspf2e.VjxZFuUXrCU94MWR]{Strike} a great deal. Many feats and other actions tell you to use one of these basic actions or modify them to produce different effects. For example, a large number of activities include a Strike.</p><p>As long as you can act, you can also speak without spending any actions. You can usually speak a single sentence or so per round. Sign language works the same way, but you need free hands to do it, and the recipient of your message needs to see you rather than hear you. Special uses of speech, such as attempting a Deception skill check to @Compendium[pf2e.actionspf2e.ewwCglB7XOPLUz72]{Lie}, require spending actions and follow their own rules.</p><h2>Actions While Exploring</h2><p>When you’re not in an encounter, you don’t have to track when you get your 3 actions and reaction, though you can still use actions and reactions as needed. The GM tells you how much time you have to get things done and determine what actions and reactions you can use if there’s confusion. Activities with the exploration trait take a long time to carry out, so you can use them only outside of encounters.</p>","<p>英雄通过使用动作来影响世界。一些被称为基础动作的动作可以被任何人使用——@Compendium[pf2e.actionspf2e.BlAOM2X92SI6HMtJ]{寻找}、@Compendium[pf2e.actionspf2e.Bcxarzksqt9ezrs6]{奔行}以及@Compendium[pf2e.actionspf2e.VjxZFuUXrCU94MWR]{打击}都是基础动作。其他的，如法术和特殊能力，只能由特定的角色使用。每个动作都会产生一个效果。有些动作是自动产生效果的，但对于其他动作，你需要通过掷骰来决定效果。</p><section class=""character-creation""><article class=""full""><h3>动作图标</h3><p>你会看到以下图标被用于游戏中发现的不同类型的动作。</p><p><span class=""pf2-icon"">1</span> 单动作是最简单且最常见的动作。你可以在你的回合中以任何你想要的顺序使用3个单动作。</p><p><span class=""pf2-icon"">r </span>反应动作是当你不在自己的回合时可以使用的特殊动作。每个反应动作都有一个触发，规定了你何时可以使用该反应动作。你每轮只能使用1个反应动作。</p><p>活动比单次动作花费的时间更长。使用2个动作的活动具有此符号：  <span class=""pf2-icon"">2</span>。使用3个动作——即你的整个回合——的活动具有此符号 <span class=""pf2-icon"">3</span>。有些活动花费的时间甚至更长，你只能在战斗遭遇之间使用它们。</p></article></section><h2>基础动作</h2><p>每个生物都可以使用基础动作来完成普通任务。你会频繁地使用@Compendium[pf2e.actionspf2e.pvQ5rY2zrtPI614F]{交互}、@Compendium[pf2e.actionspf2e.UHpkTuCtyaPqiCAB]{拨步}、@Compendium[pf2e.actionspf2e.Bcxarzksqt9ezrs6]{奔行}和@Compendium[pf2e.actionspf2e.VjxZFuUXrCU94MWR]{打击}。许多专长和其他动作会让你使用这些基础动作之一，或者修改它们以产生不同的效果。例如，大量的活动都包含一次打击。</p><p>只要你能行动，你也可以在不消耗任何动作的情况下说话。你通常每轮可以讲一个单句左右。手语的工作方式相同，但你需要空着手来做，且你信息的接收者需要看到你而不是听到你。说话的特殊用途，例如尝试欺骗技能检定来@Compendium[pf2e.actionspf2e.ewwCglB7XOPLUz72]{撒谎}，需要消耗动作并遵循其自身的规则。</p><h2>探索时的动作</h2><p>当你不在遭遇中时，你不需要追踪何时获得你的3个动作和反应动作，尽管你仍然可以根据需要使用动作和反应动作。GM会告诉你你有多少时代来完成事情，并在出现混淆时决定你可以使用哪些动作和反应动作。带有探索特征的活动需要很长的时代来执行，因此你只能在遭遇之外使用它们。</p>"
root.entries.Menace Under Otari.playlists.Soundboard Loops.sounds.The Malevolent Dead.name,⚠️ 修正,The Malevolent Dead->邪恶的死者,The Malevolent Dead,恶毒死者
root.entries.Pirate King's Plunder.journals.Adventure Steps.pages.#08.text,⚠️ 修正,check->检定,"<p class=""box-text narrative first"">With a swish, your blade slices right through the snake and it falls dead at your feet with a loud thud. Stepping around its body, you check the room for anything of value. You find a very old, tarnished silver coin wedged between two stones on the floor. It must have been here for ages, but it will buy you a night at the inn back in town when this is all over.</p><p>Add 1 silver to your scratch paper.</p><p class=""box-text narrative"">Leaving the dead serpent behind, you head toward the passageway opposite the entrance. Unlike the caves that came before, this tunnel looks like it was carefully dug out of the earth and meticulously reinforced with wood and stone. After about 20 feet, the passageway forks, heading off to the right and the left. You can hear the faint sound of splashing water to the right, while a very cold breeze drifts out of the passage to the left. Which way do you go?</p><p>If you go to the right, go to Entry@UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.Op9v0801zCNxtVMJ]{#05} .</p><p>If you go to the left, go to Entry @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.zt9iBaumtu3CAHrD]{#15}.</p>","<p class=""box-text narrative first"">嗖的一声，你的刀刃直接劈开了那条蛇，它砰的一声死在你的脚边。绕过它的尸体，你检定房间里是否有任何值钱的东西。你在地板的两块石头之间发现了一枚非常古老、失去光泽的银币。它一定在这里待了很久了，但当这一切结束回到镇上时，它足够让你在旅店住上一晚。</p><p>在你的草稿纸上增加1枚银币。</p><p class=""box-text narrative"">丢下死蛇，你走向入口对面的通道。与之前的洞穴不同，这条隧道看起来像是精心从土中挖掘出来的，并用木头和石头细致地加固过。大约走了20尺后，通道分成了左右两条岔路。你可以听到右边传来微弱的溅水声，而左边的通道则吹来一阵寒冷的微风。你要走哪条路？</p><p>如果你往右走，转到条目@UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.Op9v0801zCNxtVMJ]{#05} 。</p><p>如果你往左走，转到条目 @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.zt9iBaumtu3CAHrD]{#15}。</p>"
root.entries.Menace Under Otari.journals.Menace Under Otari.pages.Hungry Rats.name,⚠️ 修正,Hungry Rats->饥饿的巨鼠,Hungry Rats,饥饿的老鼠
root.entries.Pirate King's Plunder.journals.Introduction.pages.Scratch Paper.text,⚠️ 修正,actions->动作 | attack->攻击 | attack->攻击 | attack->攻击,"<section class=""character-creation""><article class=""full""><h3>Notes</h3><p>You can keep note of actions you take or items you find here.</p></article><article><h3>Your Statistics</h3><p>AC: 18</p><p>Hit Points: 20</p><p>Perception: [[/r 1d20+4 #Perception]]</p></article><article><h3><span class=""pf2-icon"">1</span> Strike with Your Shortsword</h3><p>First attack: [[/r 1d20+7 #Shortsword Attack 1]]</p><p>Second attack: [[/r 1d20+2 #Shortsword Attack 2]]</p><p>Third attack: [[/r 1d20-3 #Shortsword Attack 3]]</p><p>Damage: [[/r 1d6+4 #Shortsword Damage]] </p></article></section>","<section class=""character-creation""><article class=""full""><h3>笔记</h3><p>你可以在这里记下你采取的动作或找到的物品。</p></article><article><h3>你的属性</h3><p>AC: 18</p><p>生命值: 20</p><p>察觉: [[/r 1d20+4 #Perception]]</p></article><article><h3><span class=""action-glyph"">1</span> 短剑打击</h3><p>第一次攻击: [[/r 1d20+7 #Shortsword Attack 1]]</p><p>第二次攻击: [[/r 1d20+2 #Shortsword Attack 2]]</p><p>第三次攻击: [[/r 1d20-3 #Shortsword Attack 3]]</p><p>伤害: [[/r 1d6+4 #Shortsword Damage]] </p></article></section>"
root.entries.Menace Under Otari.journals.Game Mechanics.pages.Actions.name,⚠️ 修正,actions->动作,Actions,动作
root.entries.Menace Under Otari.journals.Menace Under Otari.pages.Drop into Darkness.name,⚠️ 修正,Drop into Darkness->深入黑暗,Drop into Darkness,深入黑暗
root.entries.Pirate King's Plunder.journals.Adventure Steps.pages.#01.text,⚠️ 修正,Starstone Isle->星石岛 | adventure->冒险 | coins->钱币 | Otari->奥塔里 | Otari->奥塔里,"<p class=""box-text narrative first"">You are a wandering adventurer visiting Otari, a small town on the coast of the Starstone Isle, an enormous island magically raised out of the ocean by an ancient god. Otari is renowned for its lumber and fine wooden boats, but that’s not what brought you here—you came looking for adventure!<br /><br />Word has it that a vicious beast is preying upon the town’s livestock, and the mayor has offered 10 gold coins to any hero who can put an end to the menace. That kind of money would pay your expenses for a month!<br /><br />After asking around at a nearby tavern called the Crow’s Casks, you learn that most of the attacks occur on the west side of town, not far from the shore. That seems like the best place to start your search. You gather up your belongings and make your way out along the rocky beach to begin your hunt. It doesn’t take long for you to find the entrance to a dark and mysterious cave. Large paw prints lead to and from the gloomy opening.</p><p>Go to Entry @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.9kE4sJ5hd26pCITN]{#13}.</p>","<p class=""box-text narrative first"">你是一名造访奥塔里的流浪冒险者，这是座位于星石岛海岸边的小镇，而星石岛则是被一位古代神祇用魔法从大洋中升起的巨大岛屿。奥塔里以木材和精良的木船闻名，但这并不是吸引你来到这里的原因——你来此是为了寻求冒险！<br /><br />传闻有一头凶猛的野兽正在捕食镇上的家畜，镇长悬赏 10 枚金钱币给任何能终结这一威胁的英雄。这笔钱足够支付你一个月的开销了！<br /><br />在附近一家名为“乌鸦之桶”（Crow’s Casks）的酒馆打听了一番后，你得知大多数袭击都发生在镇子西侧，离岸边不远。那似乎是开始搜寻的最佳地点。你收拾好行囊，沿着布满岩石的海滩出发，开始你的狩猎。没过多久，你就发现了一个黑暗而神秘的洞穴入口。巨大的爪印通向那阴森的洞口，又从那里延伸出来。</p><p>转到条目 @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.9kE4sJ5hd26pCITN]{#13}。</p>"
root.entries.Menace Under Otari.journals.Game Mechanics.pages.Areas.name,⚠️ 修正,Areas->区域,Areas,区域
root.entries.Menace Under Otari.journals.Menace Under Otari.pages.The Barricade.name,🆗 保留,The Barricade->路障,The Barricade,路障 The Barricade
root.entries.Menace Under Otari.journals.Game Mechanics.pages.Damage.name,⚠️ 修正,damage->伤害,Damage,伤害
root.entries.Menace Under Otari.journals.Game Mechanics.pages.Saving Throws.name,⚠️ 修正,Saving Throws->豁免,Saving Throws,豁免检定
root.entries.Menace Under Otari.journals.Menace Under Otari.pages.Trapped Hallway.name,⚠️ 修正,Trapped Hallway->陷阱走廊,Trapped Hallway,陷阱走廊
root.entries.Menace Under Otari.journals.Menace Under Otari.pages.The Spider’s Web.name,⚠️ 修正,The Spider’s Web->蛛网,The Spider’s Web,蛛网
root.entries.Menace Under Otari.journals.Menace Under Otari.pages.Abandoned Storeroom.name,⚠️ 修正,Abandoned Storeroom->废弃储藏室,Abandoned Storeroom,废弃储藏室
root.entries.Menace Under Otari.journals.Game Mechanics.pages.Saving Throws.text,✅ 新译,ability->能力 | damage->伤害 | damage->伤害 | damage->伤害 | damage->伤害 | damage->伤害 | damage->伤害 | target->目标 | save->豁免 | save->豁免 | Will->意志,"<p>Some dangerous effects let you attempt a saving throw to mitigate their harm. You attempt a saving throw automatically-you don't have to use an action or a reaction. An ability that lets you attempt a save says so in its text.</p><p>There are three types of saving throws: Fortitude (to resist diseases and poisons), Reflex (to evade effects that can be dodged), and Will (to resist effects that target the mind). </p><h3>Basic Saving Throws</h3><p>Some spells and other effects that deal damage ask you to roll a basic saving throw. You roll a basic saving throw like any other save, but you’ll use the following outcomes to determine how much damage you take.</p><p><strong>Critical Success</strong>: You take no damage.</p><p><strong>Success</strong>: You take half the listed damage.</p><p><strong>Failure</strong>: You take the full listed damage.</p><p><strong>Critical Failure</strong>: You take double the listed damage.</p>",<p>一些危险的效果允许你进行豁免检定以减轻其伤害。你会自动进行豁免检定——你不需要使用动作或反应。允许你进行豁免的能力会在其文本中说明。</p><p>豁免检定共有三种：强韧（用于抵抗疾病和毒素）、反射（用于躲避可以闪避的效果）以及意志（用于抵抗目标为心灵的效果）。</p><h3>基础豁免检定</h3><p>一些造成伤害的法术和其他效果会要求你进行基础豁免检定。你像进行其他豁免一样进行基础豁免检定，但你会根据以下结果来确定你受到了多少伤害。</p><p><strong>大成功</strong>：你不会受到伤害。</p><p><strong>成功</strong>：你受到一半的所列伤害。</p><p><strong>失败</strong>：你受到全部的所列伤害。</p><p><strong>大失败</strong>：你受到双倍的所列伤害。</p>
root.entries.Menace Under Otari.journals.Game Mechanics.pages.Currency and Expenses.text,✅ 新译,settlements->聚居地 | equipment->装备 | equipment->装备 | equipment->装备 | equipment->装备 | currency->现金 | shields->盾牌 | wealth->财富 | cover->掩蔽 | magic->魔法 | magic->魔法 | Price->价格 | time->时代,"<figure><img src=""modules/pf2e-beginner-box/assets/artwork-vignettes/ezren-the-merchant.webp"" width=""650"" /></figure><p>The standard form of currency in Pathfinder is coinage, which comes in three types: copper pieces (cp), silver pieces (sp), and gold pieces (gp). A silver piece is worth 10 cp and is the standard for most everyday transactions. Gold pieces are often used for purchasing magic items and other expensive items, as 1 gold piece is worth 10 sp or 100 cp.</p><h2>Buying and Selling</h2><p>As you gain experience and additional wealth, you should periodically buy new equipment. You might also find equipment or even magic items during your adventures, or you can buy them once you have enough money. You can usually buy equipment only in settlements; the GM will let you know when it’s time for a shopping spree!</p><p>You can also sell equipment you aren’t using anymore. Most items can be sold for half their Price, but broken shields can’t be sold at all.</p><h2>Cost of Living</h2><p>The table below shows how much it costs to get by. These values cover room and board, taxes, and other fees.</p><table><tbody><tr><th><p>Standard of Living</p></th><th><p>Week</p></th><th><p>Month</p></th></tr><tr><td><p>Subsistence</p></td><td><p>4 sp</p></td><td><p>2 gp</p></td></tr><tr><td><p>Comfortable</p></td><td><p>1 gp</p></td><td><p>4 gp</p></td></tr><tr><td><p>Fine</p></td><td><p>30 gp</p></td><td><p>130 gp</p></td></tr><tr><td><p>Extravagant</p></td><td><p>100 gp</p></td><td><p>430 gp</p></td></tr></tbody></table>","<figure><img src=""modules/pf2e-beginner-box/assets/artwork-vignettes/ezren-the-merchant.webp"" width=""650"" /></figure><p>在开拓者（Pathfinder）中，现金的标准形式是货币，分为三种类型：铜币（cp）、银币（sp）和金币（gp）。一枚银币价值10 cp，是大多数日常交易的标准。金币通常用于购买魔法物品和其他昂贵物品，因为1枚金币价值10 sp或100 cp。</p><h2>买卖</h2><p>随着你获得经验和额外的财富，你应该定期购买新的装备。你也可能在冒险中发现装备甚至魔法物品，或者在你有足够的钱后购买它们。你通常只能在聚居地购买装备；GM会让你知道什么时候是疯狂购物的时代！</p><p>你也可以卖掉不再使用的装备。大多数物品可以按其价格的一半出售，但破损的盾牌根本无法出售。</p><h2>生活开销</h2><p>下表显示了维持生计所需的费用。这些数值掩蔽了食宿、税收和其他费用。</p><table><tbody><tr><th><p>生活标准</p></th><th><p>周</p></th><th><p>月</p></th></tr><tr><td><p>维持生计</p></td><td><p>4 sp</p></td><td><p>2 gp</p></td></tr><tr><td><p>舒适</p></td><td><p>1 gp</p></td><td><p>4 gp</p></td></tr><tr><td><p>优渥</p></td><td><p>30 gp</p></td><td><p>130 gp</p></td></tr><tr><td><p>奢侈</p></td><td><p>100 gp</p></td><td><p>430 gp</p></td></tr></tbody></table>"
root.entries.Menace Under Otari.actors.Falling Ceiling.name,⚠️ 修正,Falling Ceiling->落石陷阱,Falling Ceiling,塌陷天花板
root.entries.Menace Under Otari.journals.Menace Under Otari.pages.Forgotten Crypt.name,⚠️ 修正,Forgotten Crypt->被遗忘的墓穴,Forgotten Crypt,被遗忘的墓穴
root.entries.Menace Under Otari.journals.Menace Under Otari.pages.Forgotten Shrine.name,⚠️ 修正,Forgotten Shrine->被遗忘的神龛,Forgotten Shrine,被遗忘的神龛
root.entries.Pirate King's Plunder.journals.Adventure Steps.pages.#11.text,⚠️ 修正,bonus->加值 | check->检定 | check->检定 | check->检定 | skill->技能 | skill->技能 | skill->技能 | skill->技能 | skill->技能 | skill->技能,"<p class=""box-text narrative first"">The only way to get across the river is to swim through the dangerous water.</p><p>Swimming to the other side of the room requires a Skill Check. To attempt a skill check, roll a d20 and add the bonus associated with the skill you are trying to use. If the result is equal to or greater than the DC of the task, you succeed. In this case, you can use the Athletics skill to swim across. To make it to the other side, you must succeed at two Athletics checks, which each have a DC of 15.</p><p>Athletics Skill Check: [[/r 1d20+7 #Athletics]]</p><p>These checks can be dangerous. If you are in the water and fail too many Athletics checks to swim, you get swept downstream. Since the river leads deep underground, through long tunnels without air, you’ll drown if you fail a total of three Athletics skill checks before you succeed at two checks and get out of the water.</p><p>If you fail three Athletics checks, you are dragged into the underground river and beaten against the rocks. Go to Entry @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.vvHdmlShxCXYyelw]{#17}.</p><p>If you make it to the other side, you can make your way down the stairs; go to Entry @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.DKDZReQDxqTz7sgu]{#03}.</p><p>If you instead decide to head back the way you came and try the other passage, go to Entry @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.zt9iBaumtu3CAHrD]{#15}.</p>","<p class=""box-text narrative first"">穿越河流唯一的方法就是游过这危险的水流。</p><p>游到房间的另一侧需要进行一次 技能 检定。要尝试一次 技能 检定，掷一个 d20 并加上与你尝试使用的 技能 相关的 加值。如果结果大于等于任务的 DC，你便取得成功。在这种情况下，你可以使用运动 技能 来游过去。要抵达另一边，你必须成功通过两次运动检定，每场检定的 DC 均为 15。</p><p>运动 技能 检定：[[/r 1d20+7 #Athletics]]</p><p>这些检定可能很危险。如果你在水中且在游泳时失败了太多次运动检定，你就会被冲向下游。由于河流通向地下深处，穿过没有空气的长隧道，如果你在成功两次检定并离开水面之前，总共失败了三次运动 技能 检定，你就会淹死。</p><p>如果你失败了三次运动检定，你会被拖入地下河并撞在岩石上。转到条目 @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.vvHdmlShxCXYyelw]{#17}。</p><p>如果你抵达了对岸，你可以走下楼梯；转到条目 @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.DKDZReQDxqTz7sgu]{#03}。</p><p>如果你决定原路返回并尝试另一条通道，转到条目 @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.zt9iBaumtu3CAHrD]{#15}。</p>"
root.entries.Menace Under Otari.journals.Menace Under Otari.pages.Gold Puzzle.name,⚠️ 修正,Gold Puzzle->金币谜题,Gold Puzzle,金币谜题
root.entries.Menace Under Otari.journals.Menace Under Otari.pages.Abadar’s Vault.name,⚠️ 修正,Abadar’s Vault->阿巴达尔的宝库,Abadar’s Vault,阿巴达尔的宝库
root.entries.Menace Under Otari.journals.Menace Under Otari.pages.Kobold Lookouts.name,⚠️ 修正,Kobold Lookouts->还是狗头人和陷阱,Kobold Lookouts,狗头人哨兵
root.entries.Menace Under Otari.journals.Menace Under Otari.pages.Soggy Crossroads.name,⚠️ 修正,Soggy Crossroads->浸水的路口,Soggy Crossroads,浸水的路口
